,precision,recall,f1-score,support
RAS,0.9591836734693877,1.0,0.9791666666666666,47.0
ANOMALIE,0.0,0.0,0.0,2.0
accuracy,0.9591836734693877,0.9591836734693877,0.9591836734693877,0.9591836734693877
macro avg,0.47959183673469385,0.5,0.4895833333333333,49.0
weighted avg,0.920033319450229,0.9591836734693877,0.9392006802721088,49.0

Confusion Matrix
,RAS Predicted,ANOMALIE Predicted
RAS Actual,47,0
ANOMALIE Actual,2,0

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,25
Anomaly Actual,5,57

Confusion Matrix
,Void Predicted,Anomaly Predicted
Void Actual,13,39
Anomaly Actual,5,43
