epoch,train_nll,val_nll
1,2.1553092002868652,1.0014151334762573
2,0.7990979850292206,0.42908841371536255
3,0.340883806347847,0.09335707128047943
4,0.011671189218759537,-0.17995990812778473
5,-0.23940736055374146,-0.36315780878067017
6,-0.41777685284614563,-0.49791061878204346
7,-0.5541818737983704,-0.6157998442649841
8,-0.6714014410972595,-0.724470853805542
9,-0.765566885471344,-0.7933781743049622
10,-0.8404135704040527,-0.8591280579566956
11,-0.8938876092433929,-0.8967074155807495
12,-0.9403206408023834,-0.9386741518974304
13,-0.9775679409503937,-0.9753831028938293
14,-1.0037208795547485,-0.9918583631515503
15,-1.0318915843963623,-1.0204079151153564
16,-1.0486561059951782,-1.032625436782837
17,-1.0637592673301697,-1.0515661239624023
18,-1.077243447303772,-1.066589593887329
19,-1.0914404392242432,-1.079081654548645
20,-1.0997214317321777,-1.088509202003479
21,-1.1075561046600342,-1.0927668809890747
22,-1.117000699043274,-1.1072062253952026
23,-1.1239075064659119,-1.110062599182129
24,-1.1316481232643127,-1.1184359788894653
25,-1.135685682296753,-1.1181442737579346
26,-1.1403802037239075,-1.1288373470306396
27,-1.1467812061309814,-1.1328835487365723
28,-1.148567259311676,-1.136818289756775
29,-1.1525155305862427,-1.142248511314392
30,-1.1549850702285767,-1.1442883014678955
31,-1.1584157943725586,-1.1470139026641846
32,-1.1615188717842102,-1.1486082077026367
33,-1.1629701852798462,-1.1502392292022705
34,-1.1662741303443909,-1.1512880325317383
35,-1.1684550642967224,-1.1542903184890747
36,-1.1690791249275208,-1.1534233093261719
37,-1.17106431722641,-1.1548444032669067
38,-1.1719298362731934,-1.1590336561203003
39,-1.1751912236213684,-1.1635546684265137
40,-1.1771906614303589,-1.165111780166626
41,-1.1784968972206116,-1.1667011976242065
42,-1.179907500743866,-1.1661348342895508
43,-1.1801074147224426,-1.1696523427963257
44,-1.1844367384910583,-1.1727217435836792
45,-1.186282455921173,-1.1736831665039062
46,-1.187399446964264,-1.1754894256591797
47,-1.1897022724151611,-1.1774563789367676
48,-1.1914967894554138,-1.1797147989273071
49,-1.195689618587494,-1.18087899684906
50,-1.1944851279258728,-1.1829524040222168
51,-1.195680320262909,-1.1838217973709106
52,-1.1970605850219727,-1.1834867000579834
53,-1.1966469883918762,-1.1841319799423218
54,-1.1987375617027283,-1.184805154800415
55,-1.1991411447525024,-1.1849541664123535
56,-1.1990195512771606,-1.1869776248931885
57,-1.2007539868354797,-1.188217282295227
58,-1.2024673223495483,-1.1897306442260742
59,-1.2023359537124634,-1.188897967338562
60,-1.2029876708984375,-1.190830945968628
61,-1.2036763429641724,-1.1903754472732544
62,-1.204199731349945,-1.1898796558380127
63,-1.2040634155273438,-1.191562294960022
64,-1.2054749131202698,-1.192164659500122
65,-1.2065052390098572,-1.1928319931030273
66,-1.207210898399353,-1.193372368812561
67,-1.2073793411254883,-1.1940659284591675
68,-1.2075980305671692,-1.1935933828353882
69,-1.2071388959884644,-1.1933133602142334
70,-1.2074667811393738,-1.1947168111801147
71,-1.2089092135429382,-1.1957073211669922
72,-1.2099812030792236,-1.194963812828064
73,-1.2098017930984497,-1.196529507637024
74,-1.210682213306427,-1.1968783140182495
75,-1.2108993530273438,-1.1973704099655151
76,-1.2112023830413818,-1.197064757347107
77,-1.2124906778335571,-1.1967824697494507
78,-1.2119292616844177,-1.1976971626281738
79,-1.2125447392463684,-1.1975055932998657
80,-1.212075114250183,-1.1978391408920288
81,-1.2127097845077515,-1.1988868713378906
82,-1.213589608669281,-1.1989679336547852
83,-1.2144003510475159,-1.2007485628128052
84,-1.214558184146881,-1.200605869293213
85,-1.2149707674980164,-1.201087474822998
86,-1.2143384218215942,-1.1999833583831787
87,-1.2145230174064636,-1.1999397277832031
88,-1.2158755660057068,-1.200664758682251
89,-1.2146756052970886,-1.200750470161438
90,-1.2149083018302917,-1.2019685506820679
91,-1.2156701683998108,-1.2017054557800293
92,-1.2157661318778992,-1.200797438621521
93,-1.2164543867111206,-1.2018637657165527
94,-1.2169599533081055,-1.2015010118484497
95,-1.2163885831832886,-1.2020480632781982
96,-1.216428279876709,-1.2020056247711182
97,-1.2177040576934814,-1.203809380531311
98,-1.218636929988861,-1.2040942907333374
99,-1.219685971736908,-1.2036272287368774
100,-1.2187561392784119,-1.202866792678833
101,-1.2183057069778442,-1.2027251720428467
102,-1.2183306217193604,-1.2033348083496094
103,-1.218492865562439,-1.2036676406860352
104,-1.219251275062561,-1.2030442953109741
